index,reportdate,api_wellno,fileno,company,wellname,quarter,section,township,range,county,fieldname,pool,oil,wtr,days,runs,gas,gassold,flared,lat,long,county_name,year,month,days_in_month,oil_per_day,gas_per_day,water_per_day,gassold_per_day,flared_per_day,gas_boe,gas_boe_per_day,total_boed
3263,2023-07,33053095490000,37899,CONOCOPHILLIPS,Lillibridge 2B TFH,SESW,23.0,150.0,96.0,MCK,BLUE BUTTES,BAKKEN,27951.0,21117.0,21.0,27803,35841.0,32058,2973.0,47.7912177515947,-102.93532032527,McKenzie,2023,7,31,901.6451612903226,1156.1612903225807,681.1935483870968,1034.1290322580646,95.90322580645162,5973.5,192.6935483870968,1094.3387096774193
3528,2023-07,33105058460000,39220,CRESCENT POINT ENERGY US CORP,CPEUSC Charlotte Elizabeth 2-34-27-159N-100W-MBH,LOT1,3.0,158.0,100.0,WIL,BLUE RIDGE,BAKKEN,2624.0,9294.0,11.0,2513,2213.0,2213,0.0,48.5458022837362,-103.583392238575,Williams,2023,7,31,84.64516129032258,71.38709677419355,299.80645161290323,71.38709677419355,0.0,368.8333333333333,11.897849462365592,96.54301075268816
3530,2023-07,33105058450000,39219,CRESCENT POINT ENERGY US CORP,CPEUSC Charlotte Elizabeth 34-27-159N-100W-MBH,LOT1,3.0,158.0,100.0,WIL,BLUE RIDGE,BAKKEN,5376.0,17124.0,15.0,5221,3428.0,3421,7.0,48.5458018919443,-103.583495501063,Williams,2023,7,31,173.41935483870967,110.58064516129032,552.3870967741935,110.35483870967742,0.22580645161290322,571.3333333333334,18.43010752688172,191.8494623655914
3538,2023-07,33105057940000,39072,CRESCENT POINT ENERGY US CORP,CPEUSC Samples 3-35-26-159N-100W-MBH,LOT1,2.0,158.0,100.0,WIL,BLUE RIDGE,BAKKEN,14645.0,51327.0,31.0,14462,10193.0,10043,150.0,48.5460868825159,-103.560320024314,Williams,2023,7,31,472.4193548387097,328.80645161290323,1655.7096774193549,323.96774193548384,4.838709677419355,1698.8333333333333,54.80107526881721,527.2204301075269
3539,2023-07,33105058470000,39221,CRESCENT POINT ENERGY US CORP,CPEUSC Samples 4-35-26-159N-100W-MBH,LOT1,3.0,158.0,100.0,WIL,BLUE RIDGE,BAKKEN,10831.0,32440.0,17.0,10617,6703.0,6679,24.0,48.54580306732,-103.5831857136,Williams,2023,7,31,349.38709677419354,216.2258064516129,1046.4516129032259,215.4516129032258,0.7741935483870968,1117.1666666666667,36.03763440860215,385.4247311827957
3540,2023-07,33105058490000,39223,CRESCENT POINT ENERGY US CORP,CPEUSC Samples 5-35-26-159N-100W-MBH-LL,LOT1,3.0,158.0,100.0,WIL,BLUE RIDGE,BAKKEN,7972.0,41016.0,25.0,7720,8251.0,8237,14.0,48.5458026755281,-103.583288976088,Williams,2023,7,31,257.16129032258067,266.16129032258067,1323.0967741935483,265.7096774193548,0.45161290322580644,1375.1666666666667,44.36021505376345,301.5215053763441
3543,2023-07,33105057970000,39075,CRESCENT POINT ENERGY US CORP,CPEUSC Szarka 3-36-25-159N-100W-MBH,LOT1,2.0,158.0,100.0,WIL,BLUE RIDGE,BAKKEN,13153.0,51512.0,28.0,12999,10729.0,10672,57.0,48.5460877111356,-103.559906945065,Williams,2023,7,31,424.2903225806452,346.0967741935484,1661.6774193548388,344.258064516129,1.8387096774193548,1788.1666666666667,57.682795698924735,481.9731182795699
4342,2023-07,33105050110000,35583,EXXONMOBIL,HALVERSON 13X-33CXD,NWSW,33.0,155.0,95.0,WIL,CAPA,BAKKEN,0.0,0.0,3.0,0,219.0,0,219.0,48.2044505175632,-102.912938596567,Williams,2023,7,31,0.0,7.064516129032258,0.0,0.0,7.064516129032258,36.5,1.1774193548387097,1.1774193548387097
4358,2023-07,33105051760000,36426,EXXONMOBIL,LINDA 41X-22D,NENE,22.0,155.0,95.0,WIL,CAPA,BAKKEN,12649.0,8811.0,8.0,11964,15267.0,14759,492.0,48.2387501085624,-102.875834593475,Williams,2023,7,31,408.03225806451616,492.48387096774195,284.2258064516129,476.0967741935484,15.870967741935484,2544.5,82.08064516129032,490.11290322580646
4360,2023-07,33105051770000,36427,EXXONMOBIL,LINDA 41X-22HXE,NENE,22.0,155.0,95.0,WIL,CAPA,BAKKEN,13003.0,13240.0,10.0,12299,13765.0,13472,278.0,48.2387370422791,-102.875711253327,Williams,2023,7,31,419.4516129032258,444.03225806451616,427.0967741935484,434.5806451612903,8.96774193548387,2294.1666666666665,74.00537634408603,493.4569892473118
